code,name,department,semester,credits,facultyId
CSE101PC,Data Structures,CSE,1,4,VIGN-FAC-006
CSE201PC,Operating Systems,CSE,2,4,VIGN-FAC-005
CSE301PC,DBMS,CSE,1,3,VIGN-FAC-008
CSE401PC,Algorithms,CSE,2,4,VIGN-FAC-001
IT101PC,Web Technologies,IT,1,4,VIGN-FAC-013
IT201PC,Software Engineering,IT,2,3,VIGN-FAC-014
IT301PC,Computer Networks,IT,1,4,VIGN-FAC-002
IT401PC,Cyber Security,IT,2,3,VIGN-FAC-006
ECE101PC,Signals and Systems,ECE,1,4,VIGN-FAC-014
ECE201PC,Microprocessors,ECE,2,4,VIGN-FAC-006
ECE301PC,Analog Circuits,ECE,1,3,VIGN-FAC-012
ECE401PC,Digital Electronics,ECE,2,4,VIGN-FAC-010
EEE101PC,Electrical Machines,EEE,1,4,VIGN-FAC-007
EEE201PC,Power Systems,EEE,2,4,VIGN-FAC-013
EEE301PC,Control Systems,EEE,1,3,VIGN-FAC-013
EEE401PC,Network Theory,EEE,2,4,VIGN-FAC-004
CIVIL101PC,Structural Analysis,CIVIL,1,4,VIGN-FAC-004
CIVIL201PC,Geotechnical Eng,CIVIL,2,4,VIGN-FAC-004
CIVIL301PC,Fluid Mechanics,CIVIL,1,3,VIGN-FAC-005
CIVIL401PC,Surveying,CIVIL,2,3,VIGN-FAC-003
AIDS101PC,Machine Learning,AI&DS,1,4,VIGN-FAC-011
AIDS201PC,Deep Learning,AI&DS,2,4,VIGN-FAC-002
AIDS301PC,Data Mining,AI&DS,1,3,VIGN-FAC-015
AIDS401PC,AI Applications,AI&DS,2,4,VIGN-FAC-003
AIML101PC,Neural Networks,AIML,1,4,VIGN-FAC-009
AIML201PC,Natural Language Processing,AIML,2,4,VIGN-FAC-013
AIML301PC,Computer Vision,AIML,1,3,VIGN-FAC-004
AIML401PC,Reinforcement Learning,AIML,2,4,VIGN-FAC-015
CSBS101PC,Business Economics,CSBS,1,3,VIGN-FAC-014
CSBS201PC,Software Eng Systems,CSBS,2,4,VIGN-FAC-015
CSBS301PC,Financial Management,CSBS,1,3,VIGN-FAC-014
CSBS401PC,Enterprise Architecture,CSBS,2,4,VIGN-FAC-007
MECH101PC,Thermodynamics,MECH,1,4,VIGN-FAC-008
MECH201PC,Machine Design,MECH,2,4,VIGN-FAC-003
MECH301PC,Heat Transfer,MECH,1,3,VIGN-FAC-006
MECH401PC,CAD/CAM,MECH,2,4,VIGN-FAC-001
CHEM101PC,Process Calculations,CHEMICAL,1,3,VIGN-FAC-012
CHEM201PC,Chemical Reaction Eng,CHEMICAL,2,4,VIGN-FAC-001
CHEM301PC,Mass Transfer,CHEMICAL,1,4,VIGN-FAC-002
CHEM401PC,Fluid Dynamics,CHEMICAL,2,3,VIGN-FAC-010
BIOT101PC,Microbiology,BIOTECH,1,3,VIGN-FAC-014
BIOT201PC,Biochemistry,BIOTECH,2,4,VIGN-FAC-008
BIOT301PC,Genetics,BIOTECH,1,4,VIGN-FAC-010
BIOT401PC,Bioinformatics,BIOTECH,2,3,VIGN-FAC-014
