studentId,term,feeType,amount,paidAmount
23891A1201,Term 1,Tuition Fee,85000,42500
23891A0402,Term 1,Tuition Fee,85000,42500
23891A0203,Term 1,Tuition Fee,85000,85000
23891A0104,Term 1,Tuition Fee,85000,0
23891A0505,Term 1,Tuition Fee,85000,85000
23891A1206,Term 1,Tuition Fee,85000,85000
23891A0407,Term 1,Tuition Fee,85000,42500
23891A0208,Term 1,Tuition Fee,85000,85000
23891A0109,Term 1,Tuition Fee,85000,42500
23891A0510,Term 1,Tuition Fee,85000,85000
23891A1211,Term 1,Tuition Fee,85000,42500
23891A0412,Term 1,Tuition Fee,85000,85000
23891A0213,Term 1,Tuition Fee,85000,85000
23891A0114,Term 1,Tuition Fee,85000,42500
23891A0515,Term 1,Tuition Fee,85000,85000
23891A1216,Term 1,Tuition Fee,85000,85000
23891A0417,Term 1,Tuition Fee,85000,42500
23891A0218,Term 1,Tuition Fee,85000,85000
23891A0119,Term 1,Tuition Fee,85000,0
23891A0520,Term 1,Tuition Fee,85000,85000
23891A1221,Term 1,Tuition Fee,85000,85000
23891A0422,Term 1,Tuition Fee,85000,0
23891A0223,Term 1,Tuition Fee,85000,85000
23891A0124,Term 1,Tuition Fee,85000,0
23891A0525,Term 1,Tuition Fee,85000,85000
23891A1226,Term 1,Tuition Fee,85000,85000
23891A0427,Term 1,Tuition Fee,85000,85000
23891A0228,Term 1,Tuition Fee,85000,0
23891A0129,Term 1,Tuition Fee,85000,0
23891A0530,Term 1,Tuition Fee,85000,42500
23891A1231,Term 1,Tuition Fee,85000,85000
23891A0432,Term 1,Tuition Fee,85000,42500
23891A0233,Term 1,Tuition Fee,85000,0
23891A0134,Term 1,Tuition Fee,85000,42500
23891A0535,Term 1,Tuition Fee,85000,0
23891A1236,Term 1,Tuition Fee,85000,0
23891A0437,Term 1,Tuition Fee,85000,85000
23891A0238,Term 1,Tuition Fee,85000,85000
23891A0139,Term 1,Tuition Fee,85000,85000
23891A0540,Term 1,Tuition Fee,85000,42500
23891A1241,Term 1,Tuition Fee,85000,85000
23891A0442,Term 1,Tuition Fee,85000,42500
23891A0243,Term 1,Tuition Fee,85000,0
23891A0144,Term 1,Tuition Fee,85000,42500
23891A0545,Term 1,Tuition Fee,85000,85000
23891A1246,Term 1,Tuition Fee,85000,85000
23891A0447,Term 1,Tuition Fee,85000,42500
23891A0248,Term 1,Tuition Fee,85000,42500
23891A0149,Term 1,Tuition Fee,85000,85000
23891A0550,Term 1,Tuition Fee,85000,85000
